args.feature_dim:  251
Dataset Wisconsin: num_nodes=251, feature_dim=1703, num_classes=5
params:  15623269
[split 1] Epoch 150, Loss: 0.3924, Val Acc: 0.7500, Test Acc: 0.8235, Test Pre: 0.7824, Test F1: 0.7986
[split 1] Epoch 160, Loss: 0.3920, Val Acc: 0.7500, Test Acc: 0.8235, Test Pre: 0.7824, Test F1: 0.7986
[split 1] Epoch 170, Loss: 0.3916, Val Acc: 0.7500, Test Acc: 0.8431, Test Pre: 0.8209, Test F1: 0.8272
[split 1] Epoch 180, Loss: 0.3913, Val Acc: 0.7500, Test Acc: 0.8235, Test Pre: 0.8097, Test F1: 0.8094
[split 1] Epoch 190, Loss: 0.3910, Val Acc: 0.7500, Test Acc: 0.8235, Test Pre: 0.8182, Test F1: 0.8136
[split 1] Epoch 200, Loss: 0.3908, Val Acc: 0.7500, Test Acc: 0.8235, Test Pre: 0.8182, Test F1: 0.8136
[split 1] Epoch 210, Loss: 0.3906, Val Acc: 0.7250, Test Acc: 0.8235, Test Pre: 0.8300, Test F1: 0.8197
[split 1] Epoch 220, Loss: 0.3905, Val Acc: 0.7250, Test Acc: 0.8235, Test Pre: 0.8300, Test F1: 0.8197
[split 1] Epoch 230, Loss: 0.3903, Val Acc: 0.7250, Test Acc: 0.8235, Test Pre: 0.8300, Test F1: 0.8197
[split 1] Epoch 240, Loss: 0.3902, Val Acc: 0.7250, Test Acc: 0.8235, Test Pre: 0.8300, Test F1: 0.8197
[split 1] Epoch 250, Loss: 0.3901, Val Acc: 0.7250, Test Acc: 0.8235, Test Pre: 0.8300, Test F1: 0.8197
[split 1] Epoch 260, Loss: 0.3900, Val Acc: 0.7250, Test Acc: 0.8235, Test Pre: 0.8300, Test F1: 0.8197
[split 1] Epoch 270, Loss: 0.3900, Val Acc: 0.7250, Test Acc: 0.8235, Test Pre: 0.8300, Test F1: 0.8197
[split 1] Epoch 280, Loss: 0.3899, Val Acc: 0.7250, Test Acc: 0.8235, Test Pre: 0.8300, Test F1: 0.8197
[split 1] Epoch 290, Loss: 0.3899, Val Acc: 0.7125, Test Acc: 0.8235, Test Pre: 0.8300, Test F1: 0.8197
[split 1] Epoch 300, Loss: 0.3898, Val Acc: 0.7125, Test Acc: 0.8235, Test Pre: 0.8300, Test F1: 0.8197
Best Test Metrics for split 1: {'accuracy': 0.8627450980392157, 'precision': 0.8348416686058044, 'f1': 0.8467974066734314}
params:  15623269
[split 2] Epoch 010, Loss: 0.7325, Val Acc: 0.7500, Test Acc: 0.7451, Test Pre: 0.6439, Test F1: 0.6619
